order,texts,corpus,Unnamed: 0,number,texts_count
1.0,"""Hey Google, read a bedtime story.""",Corpus1,,,
2.0,"""Hey Google, did the Liverpool win yesterday?""",Corpus1,,,
3.0,"""Hey Google, redi-al.""",Corpus1,,,
4.0,"""Hey Google, call the nearest coffee shop.""",Corpus1,,,
5.0,"""Hey Google, stop the music.""",Corpus1,,,
6.0,"""Hey Google, broadcast 'wake everybody up'.""",Corpus1,,,
7.0,"""Hey Google, dim the living room lights.""",Corpus1,,,
8.0,"""Hey Google, broadcast 'dinner is ready'.""",Corpus1,,,
9.0,"""Hey Google, turn on the Bedroom Light.""",Corpus1,,,
10.0,"""Hey Google, broadcast 'time to leave for school'.""",Corpus1,,,
11.0,"""Hey Google, stop.""",Corpus1,,,
12.0,"""Hey Google, play music on all the downstairs speakers.""",Corpus1,,,
13.0,"""Hey Google, play some hip hop.""",Corpus1,,,
14.0,"""Hey Google, snooze the alarm.""",Corpus1,,,
15.0,"""Hey Google, what does an elephant sound like?""",Corpus1,,,
16.0,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",Corpus1,,,
17.0,"""Hey Google, play Batman on TV.""",Corpus1,,,
18.0,"""Hey Google, what is the French word for grapefruit?""",Corpus1,,,
19.0,"""Hey Google, help.""",Corpus1,,,
20.0,"""Hey Google, what are my reminders for this week?""",Corpus1,,,
,"""Hey Google, what does an elephant sound like?""",corpus2,6.0,77.0,12.0
,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",corpus2,7.0,33.0,18.0
,"""Hey Google, play some music from Spotify.""",corpus2,8.0,10.0,11.0
,"""Hey Google, play Money by LISA from Spotify.""",corpus2,9.0,2.0,12.0
,"""Hey Google, flip a coin.""",corpus2,10.0,53.0,9.0
,"""Hey Google, read Women and Power.""",corpus2,11.0,20.0,10.0
,"""Hey Google, move my music to the bedroom""",corpus2,12.0,22.0,11.0
,"""Hey Google, read a bedtime story.""",corpus2,13.0,79.0,10.0
,"""Hey Google, Open Spotify.""",corpus2,14.0,9.0,8.0
,"""Hey Google, raise the temperature three degrees.""",corpus2,15.0,63.0,11.0
,"""Hey Google, hang up.""",corpus2,16.0,72.0,8.0
,"""Hey Google, broadcast 'time to leave for school'.""",corpus2,17.0,84.0,13.0
,"""Hey Google, brighten the office lamp.""",corpus2,18.0,58.0,10.0
,"""Hey Google, what is today's headlines?""",corpus2,19.0,43.0,11.0
,"""Hey Google, where did I put the spare keys?""",corpus2,20.0,37.0,11.0
,"""Hey Google, where did I put the spare keys?""",corpus2,21.0,37.0,13.0
,"""Hey Google, redial.""",corpus2,22.0,73.0,7.0
,"""Hey Google, are there any Italian restaurants around here?""",corpus2,23.0,51.0,13.0
,"""Hey Google, call my phone.""",corpus2,24.0,76.0,9.0
,"""Hey Google, do I have anything scheduled for Friday?""",corpus2,25.0,31.0,13.0
1.0,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",Corpus3,,,
2.0,"""Hey Google, broadcast 'dinner is ready'.""",Corpus3,,,
3.0,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",Corpus3,,,
4.0,"""Hey Google, delete my reminder to pick up my dry cleaning.""",Corpus3,,,
5.0,"""Hey Google, skip to the next chapter.""",Corpus3,,,
6.0,"""Hey Google, did the Liverpool win yesterday?""",Corpus3,,,
7.0,"""Hey Google, when is it going to rain?""",Corpus3,,,
8.0,"""Hey Google, sing a song.""",Corpus3,,,
9.0,"""Hey Google, are there any Italian restaurants around here?""",Corpus3,,,
10.0,"""Hey Google, start the school day""",Corpus3,,,
11.0,"""Hey Google, hang up.""",Corpus3,,,
